Capteurs,Date,,,Heure,,,Longitude,Latitude,Altitude,,,,,,,,R,G,B,Clear,,,,,,,,,
S1,2019,10,30,4,53,32,45.380936,-71.92379,263.39999,25,66.3,10.9,60,614.4,2382,8.676893,1870,1207,864,3629,OK,,,,,,,,
S2,2019,10,30,4,53,34,45.380936,-71.92379,263.29999,25,68.4,10.8,60,614.4,1621,4.175347,1520,731,464,2681,OK,,,,,,,,
S1,2019,10,30,4,53,38,45.380936,-71.92379,263.29999,24,68.4,10.8,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,4,53,41,45.380932,-71.92379,263.20001,25,68.4,10.8,60,614.4,1621,9.994737,3617,1741,1103,6373,OK,3612.25,1738,1102,,UDeS Parking inconnu,,,
S1,2019,10,30,4,53,44,0,0,0,0,68.3,10.8,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,4,53,47,45.380932,-71.92379,263.10001,25,68.3,10.7,60,614.4,1621,9.942545,3613,1737,1102,6356,OK,,,,,,,,
S1,2019,10,30,4,53,50,45.380932,-71.92379,263,25,68.2,10.8,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,4,53,54,45.380932,-71.92379,263,25,68.2,10.8,60,614.4,1621,9.942545,3605,1735,1100,6353,OK,,,,,,,,
S1,2019,10,30,4,53,57,45.380932,-71.92379,263,25,68.1,10.8,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,4,54,0,0,0,0,0,68.1,10.8,60,614.4,1621,9.968641,3614,1739,1103,6368,OK,,,,,,,,
S1,2019,10,30,4,54,3,45.380932,-71.92379,262.89999,25,68.1,10.8,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,4,54,7,45.380932,-71.92379,262.89999,25,68.1,10.8,60,614.4,1621,10.033881,3632,1749,1109,6407,OK,,,,,,,,
S1,2019,10,30,4,54,10,45.380932,-71.92379,262.89999,25,68,10.8,60,614.4,2377,7.946208,1713,1105,790,3326,OK,,,,,,,,
S2,2019,10,30,4,54,13,45.380932,-71.92379,263,25,68,10.8,60,614.4,1622,10.255697,3764,1809,1157,6620,OK,,,,,,,,
S1,2019,10,30,4,54,16,45.380932,-71.923798,263,25,68,10.8,60,614.4,2382,8.742133,1878,1213,867,3643,OK,,,,,,,,
S2,2019,10,30,4,54,19,45.380932,-71.923798,263,25,67.9,10.7,60,614.4,1620,11.573541,4174,2042,1340,7328,OK,,,,,,,,
S1,2019,10,30,5,8,30,45.384918,-71.926262,236.2,20,64.7,10.8,60,614.4,2698,2.205105,1850,756,578,2985,OK,,,,,,,,
S2,2019,10,30,5,8,32,45.384918,-71.92627,236.2,21,66.4,10.8,60,614.4,1792,6.654459,3055,1643,1490,5193,OK,,,,3057.75,1645.75,1491.75,,Tetreault
S1,2019,10,30,5,8,36,45.384918,-71.92627,236.10001,20,66.4,10.7,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,5,8,39,45.384918,-71.92627,236.10001,21,66.4,10.7,60,614.4,1798,6.732747,3069,1653,1498,5209,OK,,,,,,,,
S1,2019,10,30,5,8,42,45.384918,-71.92627,236,21,66.4,10.7,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,5,8,45,45.384918,-71.92627,235.89999,21,66.5,10.7,60,614.4,1797,6.719699,3070,1653,1498,5211,OK,,,,,,,,
S1,2019,10,30,5,8,48,45.384926,-71.92627,235.8,20,66.4,10.7,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,5,8,52,45.384926,-71.92627,235.7,21,66.5,10.7,60,614.4,1794,6.641411,3037,1634,1481,5160,OK,,,,,,,,
S1,2019,10,30,5,8,55,45.384926,-71.92627,235.60001,21,66.5,10.7,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,5,8,58,45.384926,-71.92627,235.5,21,66.5,10.7,60,614.4,1812,6.276068,2799,1513,1363,4819,OK,,,,,,,,
S1,2019,10,30,5,9,1,45.384926,-71.92627,235.39999,20,66.5,10.7,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,5,9,5,45.384926,-71.92627,235.39999,21,66.5,10.7,60,614.4,2136,0.013048,9,5,5,15,OK,,,,,,,,
S1,2019,10,30,5,9,8,45.384926,-71.92627,235.3,21,66.5,10.7,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,5,9,11,45.384926,-71.92627,235.2,21,66.5,10.7,60,614.4,1703,7.22857,3482,1831,1646,5817,OK,,,,,,,,
S1,2019,10,30,5,11,11,0,0,0,0,64.5,10.8,60,614.4,2479,9.772922,7558,3140,2395,12153,OK,,,,,,,,
S2,2019,10,30,5,11,13,45.385025,-71.926399,236.60001,21,66,10.8,60,614.4,1767,7.489529,3362,1800,1605,5656,OK,,,,,,,,
S1,2019,10,30,5,11,17,45.385025,-71.926399,236.60001,22,66,10.7,60,614.4,2440,9.929497,7553,3146,2394,12190,OK,,,,,,,,
S2,2019,10,30,5,11,20,45.385025,-71.926399,236.5,22,66,10.7,60,614.4,1805,7.933159,3408,1843,1631,5767,OK,,,,,,,,
S1,2019,10,30,5,11,23,45.385025,-71.926399,236.5,22,66,10.7,60,614.4,2481,9.759873,7555,3138,2393,12153,OK,,,,,,,,
S2,2019,10,30,5,11,26,45.385025,-71.926399,236.39999,22,66,10.7,60,614.4,1805,7.907064,3399,1838,1627,5749,OK,,,,,,,,
S1,2019,10,30,5,11,30,45.385025,-71.926399,236.39999,22,66,10.7,60,614.4,2509,9.642442,7549,3130,2391,12111,OK,,,,,,,,
S2,2019,10,30,5,11,33,45.385025,-71.926399,236.39999,22,66,10.7,60,614.4,1713,7.60696,3483,1838,1622,5808,OK,,,,,,,,
S1,2019,10,30,5,11,36,45.385048,-71.926392,234.8,13,65.9,10.7,60,614.4,2291,5.153944,1614,964,822,2781,OK,,,,,,,,
S2,2019,10,30,5,11,39,45.385098,-71.926376,234.10001,15,65.9,10.7,60,614.4,2175,0.182671,73,42,38,106,OK,,,,,,,,
S1,2019,10,30,5,11,42,45.385155,-71.926369,232.89999,14,65.9,10.7,60,614.4,3511,0.052192,13,9,8,22,OK,,,,,,,,
S2,2019,10,30,5,11,46,45.385223,-71.926361,232.2,15,65.9,10.7,60,614.4,4686,0.143528,39,28,27,49,OK,,,,,,,,
S1,2019,10,30,5,11,49,45.385281,-71.926361,231.3,14,66,10.7,60,614.4,3499,0.052192,10,8,6,19,OK,,,,,,,,
S2,2019,10,30,5,11,52,0,0,0,0,66,10.7,60,614.4,2422,0.143528,52,31,28,72,OK,,,,,,,,
S1,2019,10,30,5,11,55,45.385387,-71.926353,229.10001,20,66,10.7,60,614.4,2775,0.078288,14,10,7,28,OK,,,,,,,,
S2,2019,10,30,5,11,58,45.385445,-71.926361,228.60001,20,66.1,10.7,60,614.4,1711,5.81939,2447,1092,660,3932,OK,,,,,,,,
S1,2019,10,30,5,12,2,45.38549,-71.926399,228.39999,22,66.1,10.7,60,614.4,2610,0.078288,18,12,9,32,OK,,,,,,,,
S2,2019,10,30,5,12,5,45.385517,-71.926476,227.8,15,66.1,10.7,60,614.4,2641,0.117432,29,19,15,52,OK,,,,,,,,
S1,2019,10,30,5,12,8,0,0,0,0,66.1,10.7,60,614.4,2122,0.104384,44,25,23,89,OK,,,,,,,,
S2,2019,10,30,5,12,11,45.385529,-71.926743,226.7,22,66.2,10.7,60,614.4,2215,15.722792,3600,2239,1584,6495,OK,,,,,,,,
S1,2019,10,30,5,12,14,45.385532,-71.926888,226.5,22,66.6,10.7,60,614.4,2439,0.221815,55,35,27,93,OK,,,,,,,,
S2,2019,10,30,5,12,18,45.385536,-71.92704,226.3,21,66.9,10.7,60,614.4,2049,0.143528,64,36,33,99,OK,,,,,,,,
S1,2019,10,30,5,12,21,45.385536,-71.927177,226.10001,22,67.1,10.7,60,614.4,2208,0.404487,156,90,82,259,OK,,,,,,,,
S2,2019,10,30,5,12,24,45.385536,-71.927254,226.10001,21,67.2,10.7,60,614.4,2184,2.139865,1467,626,475,2371,OK,,,,,,,,
S1,2019,10,30,5,12,27,45.385536,-71.927322,225.8,20,67.4,10.7,60,614.4,2404,2.583496,839,504,444,1419,OK,,,,,,,,
S2,2019,10,30,5,12,31,45.385536,-71.927437,225.5,15,67.4,10.7,60,614.4,1939,0.234863,74,42,33,126,OK,,,,,,,,
S1,2019,10,30,5,12,34,45.385544,-71.927574,225.5,15,67.7,10.7,60,614.4,1661,0.169623,108,56,55,191,OK,,,,,,,,
S2,2019,10,30,5,12,37,45.385544,-71.927719,225.39999,21,68.1,10.7,60,614.4,1763,2.505208,1104,591,522,1839,OK,,,,,,,,
S1,2019,10,30,5,12,40,45.385544,-71.927917,225.10001,20,68.4,10.7,60,614.4,2707,1.017741,262,169,141,432,OK,,,,,,,,
S2,2019,10,30,5,12,43,45.385551,-71.928085,225.10001,20,68.5,10.7,60,614.4,4816,0.247911,69,49,48,84,OK,,,,,,,,
S1,2019,10,30,5,12,47,45.385551,-71.928238,224.89999,20,68.6,10.7,60,614.4,2715,0.495822,111,74,58,207,OK,,,,,,,,
S2,2019,10,30,5,12,50,45.385551,-71.92836,224.60001,15,68.6,10.7,60,614.4,2183,5.936821,1438,881,640,2454,OK,,,,,,,,
S1,2019,10,30,5,12,53,0,0,0,0,68.7,10.7,60,614.4,1698,16.127277,4675,2472,1568,8308,OK,,,,,,,,
S2,2019,10,30,5,12,56,45.385548,-71.928505,224,20,68.7,10.7,60,614.4,2062,12.14765,2774,1678,1115,5155,OK,,,,,,,,
S1,2019,10,30,5,12,59,45.385548,-71.928505,223.8,15,68.8,10.7,60,614.4,1773,15.148682,4003,2200,1382,7193,OK,,,,,,,,
S2,2019,10,30,5,13,3,45.385548,-71.928505,223.8,15,68.8,10.7,60,614.4,2032,11.521348,2656,1594,1052,4946,OK,,,,,,,,
S1,2019,10,30,5,13,6,45.385548,-71.928505,223.7,22,68.8,10.7,60,614.4,1775,15.21392,4008,2205,1383,7222,OK,,,,,,,,
S2,2019,10,30,5,13,9,0,0,0,0,68.7,10.7,60,614.4,2011,11.416965,2680,1597,1059,4978,OK,,,,,,,,
S1,2019,10,30,5,13,12,45.385548,-71.928505,223.60001,22,68.7,10.7,60,614.4,1766,15.21392,4054,2221,1397,7277,OK,,,,,,,,
S2,2019,10,30,5,13,15,45.385548,-71.928505,223.60001,22,68.7,10.7,60,614.4,2031,11.025526,2573,1541,1027,4772,OK,,,,,,,,
S1,2019,10,30,5,17,35,45.385529,-71.928505,221.8,24,66.8,10.7,60,614.4,1758,2.792263,755,412,260,1354,OK,,,,,,,,
S2,2019,10,30,5,17,38,45.385529,-71.928505,221.8,24,68.4,10.7,60,614.4,2033,10.059977,2342,1404,935,4418,OK,,2307.25,1401.25,942.75,,Forest,,
S1,2019,10,30,5,17,41,45.385529,-71.928505,221.8,24,68.4,10.6,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,5,17,44,45.385525,-71.928505,221.8,24,68.4,10.6,60,614.4,2096,10.059977,2293,1397,942,4365,OK,,,,,,,,
S1,2019,10,30,5,17,47,45.385525,-71.928505,221.8,24,68.4,10.6,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,5,17,51,45.385525,-71.928505,221.89999,24,68.5,10.6,60,614.4,2103,10.09912,2303,1405,950,4383,OK,,,,,,,,
S1,2019,10,30,5,17,54,45.385525,-71.928505,221.89999,23,68.5,10.6,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,5,17,57,0,0,0,0,68.5,10.6,60,614.4,2105,10.086073,2291,1399,944,4361,OK,,,,,,,,
S1,2019,10,30,5,18,0,45.385525,-71.928505,221.89999,24,68.5,10.6,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,5,18,3,45.385525,-71.928513,221.89999,24,68.6,10.6,60,614.4,1998,4.188395,1020,603,409,1873,OK,,,,,,,,
S1,2019,10,30,5,18,7,45.385525,-71.928513,222,24,68.6,10.6,60,614.4,1773,15.200871,4024,2211,1391,7235,OK,,,,,,,,
S2,2019,10,30,5,18,10,45.385521,-71.928513,221.89999,24,68.6,10.6,60,614.4,2052,11.495253,2630,1587,1052,4908,OK,,,,,,,,
S1,2019,10,30,5,19,8,0,0,0,0,67.1,10.7,60,614.4,1775,15.148682,3994,2197,1379,7206,OK,,,,,,,,
S2,2019,10,30,5,19,11,0,0,0,0,68.8,10.7,60,614.4,1997,11.156006,2657,1575,1049,4936,OK,,,,,,,,
S1,2019,10,30,5,19,14,0,0,0,0,68.7,10.6,60,614.4,1766,14.952962,3983,2182,1372,7156,OK,,,,,,,,
S2,2019,10,30,5,19,17,0,0,0,0,68.7,10.6,60,614.4,2029,11.403916,2637,1581,1045,4918,OK,,,,,,,,
S1,2019,10,30,5,19,21,0,0,0,0,68.8,10.7,60,614.4,1770,14.96601,3967,2177,1367,7131,OK,,,,,,,,
S2,2019,10,30,5,19,24,0,0,0,0,68.6,10.6,60,614.4,2034,11.443061,2652,1591,1056,4936,OK,,,,,,,,
S1,2019,10,30,5,19,27,0,0,0,0,68.6,10.6,60,614.4,2219,13.804741,2886,1827,1213,5365,OK,,,,,,,,
S2,2019,10,30,5,19,30,45.385521,-71.928581,221.2,15,68.6,10.6,60,614.4,2059,0.260959,81,47,38,145,OK,,,,,,,,
S1,2019,10,30,5,19,33,45.385525,-71.928703,220.8,15,68.6,10.6,60,614.4,2780,1.839762,521,331,290,927,OK,,,,,,,,
S2,2019,10,30,5,19,37,45.385529,-71.928856,220.3,20,68.6,10.6,60,614.4,1823,4.801649,1647,905,717,2855,OK,,,,,,,,
S1,2019,10,30,5,19,40,45.385532,-71.929039,219.7,15,68.6,10.6,60,614.4,2418,0.117432,32,20,16,58,OK,,,,,,,,
S2,2019,10,30,5,19,43,0,0,0,0,68.8,10.7,60,614.4,2439,0.756782,206,128,105,335,OK,,,,,,,,
S1,2019,10,30,5,19,46,45.385532,-71.929276,219.3,20,68.8,10.6,60,614.4,1662,3.483805,1078,557,358,1894,OK,,,,,,,,
S2,2019,10,30,5,19,49,45.385532,-71.929375,219.3,15,69,10.7,60,614.4,1721,3.19675,1108,590,445,1867,OK,,,,,,,,
S1,2019,10,30,5,19,53,45.385532,-71.929527,219.2,21,68.9,10.6,60,614.4,2365,0.091336,20,13,9,38,OK,,,,,,,,
S2,2019,10,30,5,19,56,45.385532,-71.929703,218.8,20,69,10.7,60,614.4,2813,0.104384,43,26,25,59,OK,,,,,,,,
S1,2019,10,30,5,19,59,45.38554,-71.929977,218.3,22,69,10.7,60,614.4,5833,1.461371,5720,1977,1573,8516,OK,,,,,,,,
S2,2019,10,30,5,20,2,45.38554,-71.930168,218.10001,23,69,10.6,60,614.4,2822,0.339247,115,71,66,161,OK,,,,,,,,
S1,2019,10,30,5,20,6,45.385536,-71.930328,217.89999,22,69.3,10.7,60,614.4,2373,0.104384,33,20,17,60,OK,,,,,,,,
S2,2019,10,30,5,20,9,45.385544,-71.930481,217.7,22,69.3,10.6,60,614.4,2100,0.808973,244,143,115,390,OK,,,,,,,,
S1,2019,10,30,5,20,12,45.385544,-71.930595,217.60001,22,69.5,10.7,60,614.4,1870,15.057345,7650,3300,2146,12438,OK,,,,,,,,
S2,2019,10,30,5,20,15,45.38554,-71.930756,217.39999,22,69.6,10.7,60,614.4,1641,0.300103,112,57,41,187,OK,,,,,,,,
S1,2019,10,30,5,20,18,45.385536,-71.930923,217.39999,21,69.6,10.7,60,614.4,2539,0.078288,20,13,10,37,OK,,,,,,,,
S2,2019,10,30,5,20,22,45.385536,-71.931068,217.89999,21,69.7,10.7,60,614.4,1818,0.691542,229,126,97,368,OK,,,,,,,,
S1,2019,10,30,5,20,25,45.385536,-71.931213,218.10001,23,69.8,10.7,60,614.4,2023,28.979519,6293,3803,2374,11608,OK,,,,,,,,
S2,2019,10,30,5,20,28,45.385536,-71.931358,218.2,23,69.9,10.7,60,614.4,2457,0.13048,37,23,19,58,OK,,,,,,,,
S1,2019,10,30,5,20,31,45.385544,-71.931541,218.39999,23,69.9,10.7,60,614.4,2792,0.208767,75,46,43,121,OK,,,,,,,,
S2,2019,10,30,5,20,34,45.385544,-71.931618,218.7,21,70,10.7,60,614.4,3967,0.782878,981,378,298,1531,OK,,,,,,,,
S1,2019,10,30,5,20,38,45.385544,-71.931702,219.2,23,70,10.7,60,614.4,1926,0.208767,104,57,54,158,OK,,,,,,,,
S2,2019,10,30,5,20,41,45.385544,-71.931847,219.5,20,70.1,10.7,60,614.4,2667,0.195719,51,33,27,78,OK,,,,,,,,
S1,2019,10,30,5,20,44,0,0,0,0,70.1,10.7,60,614.4,1712,0.104384,30,16,10,55,OK,,,,,,,,
S2,2019,10,30,5,20,47,45.385548,-71.932198,220.3,22,70.1,10.7,60,614.4,1621,0.13048,45,22,13,74,OK,,,,,,,,
S1,2019,10,30,5,20,50,45.385548,-71.932365,220.8,22,70.1,10.7,60,614.4,2062,0.104384,23,14,9,43,OK,,,,,,,,
S2,2019,10,30,5,20,54,45.385551,-71.932526,221.10001,21,70.1,10.7,60,614.4,2505,0.313151,96,59,51,150,OK,,,,,,,,
S1,2019,10,30,5,20,57,45.385551,-71.93264,221.2,21,70.1,10.7,60,614.4,2648,0.887261,239,152,128,420,OK,,,,,,,,
S2,2019,10,30,5,21,0,0,0,0,0,70.2,10.7,60,614.4,2067,1.78757,562,326,266,961,OK,,,,,,,,
S1,2019,10,30,5,21,3,45.385559,-71.932968,221.39999,23,70.2,10.7,60,614.4,2418,0.052192,16,10,8,29,OK,,,,,,,,
S2,2019,10,30,5,21,7,45.385559,-71.933121,221.60001,23,70.2,10.7,60,614.4,2096,0.143528,54,31,27,82,OK,,,,,,,,
S1,2019,10,30,5,21,10,45.385559,-71.933266,221.7,23,70.3,10.7,60,614.4,1704,3.679524,1271,672,500,2187,OK,,,,,,,,
S2,2019,10,30,5,21,13,45.385559,-71.933418,221.39999,23,70.4,10.7,60,614.4,1683,0.274007,134,70,62,219,OK,,,,,,,,
S1,2019,10,30,5,21,16,45.385559,-71.933624,221.8,23,70.4,10.7,60,614.4,3275,0.078288,17,12,10,30,OK,,,,,,,,
S2,2019,10,30,5,21,19,45.385555,-71.933754,222,23,70.4,10.7,60,614.4,3241,0.091336,22,15,13,41,OK,,,,,,,,
S1,2019,10,30,5,21,23,45.385551,-71.933846,221.89999,23,70.5,10.7,60,614.4,1697,1.422228,291,155,55,563,OK,,,,,,,,
S2,2019,10,30,5,21,26,45.385551,-71.933983,222,23,70.5,10.7,60,614.4,1949,0.117432,64,27,17,97,OK,,,,,,,,
S1,2019,10,30,5,21,29,45.385548,-71.934135,222.10001,23,70.6,10.7,60,614.4,2507,0.052192,14,9,7,26,OK,,,,,,,,
S2,2019,10,30,5,21,32,45.385548,-71.934349,222.2,23,70.6,10.7,60,614.4,5478,0.104384,21,17,16,29,OK,,,,,,,,
S1,2019,10,30,5,21,35,45.385548,-71.934517,221.89999,23,70.7,10.7,60,614.4,3166,0.06524,14,10,8,26,OK,,,,,,,,
S2,2019,10,30,5,21,39,45.385548,-71.934685,222,23,70.7,10.7,60,614.4,4704,0.195719,60,41,41,73,OK,,,,,,,,
S1,2019,10,30,5,21,42,45.385544,-71.934792,222.2,23,70.7,10.7,60,614.4,2006,0.078288,32,18,16,60,OK,,,,,,,,
S2,2019,10,30,5,21,45,0,0,0,0,70.8,10.7,60,614.4,1775,3.19675,977,533,381,1663,OK,,,,,,,,
S1,2019,10,30,5,21,48,45.385494,-71.934952,223,23,70.8,10.7,60,614.4,2355,0.156576,50,30,26,76,OK,,,,,,,,
S2,2019,10,30,5,21,51,45.385403,-71.934975,223.2,22,70.8,10.7,60,614.4,4874,0.039144,13,9,9,19,OK,,,,,,,,
S1,2019,10,30,5,21,55,45.385296,-71.934975,223.2,23,70.6,10.7,60,614.4,3034,0.052192,11,8,6,22,OK,,,,,,,,
S2,2019,10,30,5,21,58,45.385189,-71.934967,223.2,23,70.8,10.7,60,614.4,5606,0.052192,15,11,11,21,OK,,,,,,,,
S1,2019,10,30,5,22,1,0,0,0,0,71,10.7,60,614.4,2555,0.156576,39,25,20,69,OK,,,,,,,,
S2,2019,10,30,5,22,4,45.384926,-71.934959,224,23,71.2,10.7,60,614.4,2157,16.701387,3946,2417,1712,6970,OK,,,,,,,,
S1,2019,10,30,5,22,8,45.384815,-71.934952,224.10001,23,71.2,10.7,60,614.4,2390,0.352295,105,64,54,162,OK,,,,,,,,
S2,2019,10,30,5,22,11,45.384716,-71.934944,224.3,23,71.2,10.7,60,614.4,2932,0.091336,28,18,16,42,OK,,,,,,,,
S1,2019,10,30,5,22,14,45.384617,-71.934937,224.5,22,71.3,10.7,60,614.4,2551,3.275038,791,509,403,1508,OK,,,,,,,,
S2,2019,10,30,5,22,17,45.384464,-71.934937,224.7,22,71.4,10.7,60,614.4,2169,16.296902,3964,2421,1756,7278,OK,,,,,,,,
S1,2019,10,30,5,22,20,45.384342,-71.934937,224.60001,22,71.4,10.7,60,614.4,2610,0.052192,12,8,6,23,OK,,,,,,,,
S2,2019,10,30,5,22,24,45.384216,-71.934937,224.60001,23,71.6,10.7,60,614.4,1886,0.247911,143,63,46,236,OK,,,,,,,,
S1,2019,10,30,5,22,27,45.384094,-71.934937,224.7,23,71.7,10.7,60,614.4,2910,0.06524,18,12,10,33,OK,,,,,,,,
S2,2019,10,30,5,22,30,45.383976,-71.934937,224.8,23,71.6,10.7,60,614.4,1976,3.757813,1341,757,643,2316,OK,,,,,,,,
S1,2019,10,30,5,22,33,45.383808,-71.934929,224.7,22,71.7,10.8,60,614.4,2730,0.052192,10,7,5,20,OK,,,,,,,,
S2,2019,10,30,5,22,36,45.383656,-71.934921,224.60001,22,71.7,10.7,60,614.4,2472,0.430583,79,54,35,161,OK,,,,,,,,
S1,2019,10,30,5,22,40,45.383492,-71.934914,224.39999,21,71.7,10.7,60,614.4,1643,12.813096,6018,2869,2175,10180,OK,,,,,,,,
S2,2019,10,30,5,22,43,45.383343,-71.934906,224.2,23,71.7,10.7,60,614.4,2295,0.274007,91,54,47,140,OK,,,,,,,,
S1,2019,10,30,5,22,46,0,0,0,0,71.7,10.7,60,614.4,2730,0.052192,10,7,5,19,OK,,,,,,,,
S2,2019,10,30,5,22,49,45.383018,-71.934883,224.3,21,71.7,10.7,60,614.4,3082,0.143528,49,31,29,65,OK,,,,,,,,
S1,2019,10,30,5,22,52,45.382908,-71.934883,224.5,24,71.6,10.7,60,614.4,3424,8.44203,8921,3501,2708,14131,OK,,,,,,,,
S2,2019,10,30,5,22,56,45.382839,-71.934883,224.60001,24,71.6,10.7,60,614.4,2087,0.521918,461,213,200,712,OK,,,,,,,,
S1,2019,10,30,5,22,59,45.382824,-71.934883,225.2,24,71.6,10.8,60,614.4,5132,2.244249,14236,4845,3898,21135,OK,,,,,,,,
S2,2019,10,30,5,23,2,0,0,0,0,71.6,10.7,60,614.4,1995,0.534966,456,212,198,698,OK,,,,,,,,
S1,2019,10,30,5,23,5,45.382828,-71.934883,225,24,71.6,10.7,60,614.4,5848,4.840793,13732,4864,3890,20786,OK,,,,,,,,
S2,2019,10,30,5,23,8,45.382828,-71.934883,225,24,71.6,10.7,60,614.4,2416,0.430583,422,189,174,656,OK,,,,,,,,
S1,2019,10,30,5,23,12,45.382828,-71.934883,225,24,71.6,10.7,60,614.4,5809,5.127849,13837,4913,3919,20960,OK,,,,,,,,
S2,2019,10,30,5,23,15,45.382828,-71.934883,225,25,71.5,10.7,60,614.4,1703,0.70459,478,230,210,786,OK,,,,,,,,
S1,2019,10,30,5,27,8,45.382896,-71.934746,225.2,24,69.3,10.8,60,614.4,1635,0,2,1,1,4,OK,,,,,,,,
S2,2019,10,30,5,27,11,45.382896,-71.934746,225.2,24,70.1,10.8,60,614.4,2879,0.091336,138,64,66,217,OK,,,,,,,,
S1,2019,10,30,5,27,14,45.382896,-71.934746,225.2,23,70.2,10.7,60,614.4,0,0,0,0,0,0,OK,,,,,,,,
