Wavelength 	G-IR	B-IR	R-IR
3.50E+02	0.00E+00	0.00E+00	0.00E+00
3.70E+02	0.00E+00	8.25E+08	0.00E+00
3.90E+02	3.87E+08	1.93E+09	1.16E+09
4.10E+02	9.04E+08	8.36E+09	2.49E+09
4.30E+02	1.59E+09	1.23E+10	1.16E+09
4.50E+02	2.48E+09	1.48E+10	3.09E+08
4.70E+02	5.87E+09	1.69E+10	2.35E+08
4.90E+02	7.83E+09	1.50E+10	3.70E+08
5.10E+02	1.41E+10	9.79E+09	9.00E+08
5.30E+02	2.01E+10	4.50E+09	2.57E+09
5.50E+02	1.84E+10	3.14E+09	2.49E+09
5.70E+02	1.18E+10	1.95E+09	7.68E+09
5.90E+02	4.21E+09	2.10E+09	1.71E+10
6.10E+02	5.95E+08	1.21E+09	1.66E+10
6.30E+02	0.00E+00	4.82E+08	1.10E+10
6.50E+02	0.00E+00	3.41E+08	5.39E+09
6.70E+02	0.00E+00	2.72E+08	4.20E+09
6.90E+02	0.00E+00	1.59E+08	3.96E+09
7.10E+02	0.00E+00	8.80E+07	3.83E+09
7.30E+02	2.55E+07	0.00E+00	3.97E+09
7.50E+02	3.46E+08	0.00E+00	3.72E+09
7.70E+02	4.35E+08	0.00E+00	3.45E+09
7.90E+02	0.00E+00	2.60E+08	2.52E+09
8.10E+02	0.00E+00	7.40E+08	1.41E+09
8.30E+02	0.00E+00	3.45E+08	6.95E+08
8.50E+02	0.00E+00	2.15E+08	4.35E+08
8.70E+02	0.00E+00	1.40E+08	1.40E+08
8.90E+02	0.00E+00	0.00E+00	3.30E+08
9.10E+02	0.00E+00	0.00E+00	1.95E+08
9.30E+02	0.00E+00	0.00E+00	0.00E+00
9.50E+02	0.00E+00	0.00E+00	0.00E+00
9.70E+02	0.00E+00	0.00E+00	7.70E+08
9.90E+02	0.00E+00	0.00E+00	0.00E+00